ACH_DATE,AGE_BAND,GENDER,OPT_OUT,LIST_SIZE,RATE
01/09/2021,0-9,All,118383,6603226,1.792805517
01/09/2021,Oct-19,All,216909,6969300,3.112349877
01/09/2021,20-29,All,484895,7988926,6.069589329
01/09/2021,30-39,All,614926,9054967,6.791035241
01/09/2021,40-49,All,520096,7999786,6.501373912
01/09/2021,50-59,All,513144,8233072,6.232716051
01/09/2021,60-69,All,390577,6347028,6.153699023
01/09/2021,70-79,All,288227,4998782,5.765944584
01/09/2021,80-89,All,102171,2347491,4.352348955
01/09/2021,90+,All,14890,520931,2.858344003
01/09/2021,All,All,3264327,61063509,5.345790069
01/09/2021,Unknown,All,109,0,0
01/09/2021,All deceased,All deceased,92144,0,0
01/09/2021,0-9,Female,57442,3219181,1.784366893
01/09/2021,Oct-19,Female,109214,3404080,3.208326479
01/09/2021,20-29,Female,291364,4002976,7.278684659
01/09/2021,30-39,Female,350282,4437634,7.893440514
01/09/2021,40-49,Female,280683,3853150,7.284507481
01/09/2021,50-59,Female,282812,4037147,7.00524405
01/09/2021,60-69,Female,217105,3194357,6.796516482
01/09/2021,70-79,Female,157325,2628665,5.984977165
01/09/2021,80-89,Female,57702,1341708,4.300637695
01/09/2021,90+,Female,9584,350357,2.735495509
01/09/2021,All,Female,1813513,30469255,5.951944017
01/09/2021,All deceased,Female,44450,0,0
01/09/2021,0-9,Male,60939,3384045,1.800773926
01/09/2021,Oct-19,Male,107675,3565220,3.020150229
01/09/2021,20-29,Male,193433,3985950,4.852870708
01/09/2021,30-39,Male,264584,4617333,5.730234315
01/09/2021,40-49,Male,239393,4146636,5.773185782
01/09/2021,50-59,Male,230321,4195925,5.489159125
01/09/2021,60-69,Male,173465,3152671,5.502159915
01/09/2021,70-79,Male,130898,2370117,5.522849716
01/09/2021,80-89,Male,44469,1005783,4.42133144
01/09/2021,90+,Male,5306,170574,3.110673373
01/09/2021,All,Male,1450483,30594254,4.741030783
01/09/2021,All deceased,Male,47692,0,0
01/09/2021,All,Unknown / Prefer not to say,331,0,0
01/09/2021,All deceased,Unknown / Prefer not to say,2,0,0
01/08/2021,0-9,All,117260,6612432,1.773326365
01/08/2021,Oct-19,All,213795,6958290,3.072522128
01/08/2021,20-29,All,480079,7997019,6.003224452
01/08/2021,30-39,All,602848,9046924,6.663568744
01/08/2021,40-49,All,508332,7993961,6.358950213
01/08/2021,50-59,All,502117,8231678,6.099813428
01/08/2021,60-69,All,382374,6336173,6.034778406
01/08/2021,70-79,All,283558,4992565,5.679605573
01/08/2021,80-89,All,100917,2344470,4.304469667
01/08/2021,90+,All,14637,518802,2.821307551
01/08/2021,All,All,3206023,61032314,5.252992702
01/08/2021,Unknown,All,106,0,0
01/08/2021,All deceased,All deceased,90726,0,0
01/08/2021,0-9,Female,56883,3223624,1.764566835
01/08/2021,Oct-19,Female,107849,3399259,3.172720878
01/08/2021,20-29,Female,288943,4009936,7.205676101
01/08/2021,30-39,Female,343431,4433638,7.746031589
01/08/2021,40-49,Female,274376,3849663,7.127273218
01/08/2021,50-59,Female,276633,4036345,6.853551914
01/08/2021,60-69,Female,212452,3188646,6.662765324
01/08/2021,70-79,Female,154809,2625637,5.896054938
01/08/2021,80-89,Female,56986,1340309,4.251706136
01/08/2021,90+,Female,9408,349174,2.694358687
01/08/2021,All,Female,1781770,30456231,5.850264269
01/08/2021,All deceased,Female,43776,0,0
01/08/2021,0-9,Male,60374,3388808,1.781570393
01/08/2021,Oct-19,Male,105929,3559031,2.976343842
01/08/2021,20-29,Male,191041,3987083,4.791497945
01/08/2021,30-39,Male,259365,4613286,5.622131383
01/08/2021,40-49,Male,233942,4144298,5.6449126
01/08/2021,50-59,Male,225473,4195333,5.374376718
01/08/2021,60-69,Male,169915,3147527,5.398365129
01/08/2021,70-79,Male,128745,2366928,5.439328953
01/08/2021,80-89,Male,43931,1004161,4.374896058
01/08/2021,90+,Male,5229,169628,3.082627868
01/08/2021,All,Male,1423944,30576083,4.657051722
01/08/2021,All deceased,Male,46948,0,0
01/08/2021,All,Unknown / Prefer not to say,309,0,0
01/08/2021,All deceased,Unknown / Prefer not to say,2,0,0
01/07/2021,0-9,All,92388,6620824,1.395415435
01/07/2021,Oct-19,All,197017,6946709,2.836119953
01/07/2021,20-29,All,455018,7993241,5.69253448
01/07/2021,30-39,All,575241,9033003,6.368214424
01/07/2021,40-49,All,483522,7985937,6.05466835
01/07/2021,50-59,All,479307,8224766,5.827606524
01/07/2021,60-69,All,365311,6323969,5.776609594
01/07/2021,70-79,All,272862,4982489,5.476419516
01/07/2021,80-89,All,97948,2342398,4.181526794
01/07/2021,90+,All,14234,516666,2.754971297
01/07/2021,All,All,3032917,60970002,4.974441365
01/07/2021,Unknown,All,69,0,0
01/07/2021,All deceased,All deceased,89331,0,0
01/07/2021,0-9,Female,44686,3227978,1.384334094
01/07/2021,Oct-19,Female,99395,3394166,2.928407155
01/07/2021,20-29,Female,273015,4013201,6.802923651
01/07/2021,30-39,Female,327407,4427837,7.394287549
01/07/2021,40-49,Female,260786,3846154,6.780435729
01/07/2021,50-59,Female,263862,4033011,6.542555922
01/07/2021,60-69,Female,202832,3182362,6.373630655
01/07/2021,70-79,Female,148998,2620692,5.685444913
01/07/2021,80-89,Female,55213,1339166,4.122939202
01/07/2021,90+,Female,9149,348034,2.628766155
01/07/2021,All,Female,1685343,30432601,5.53795254
01/07/2021,All deceased,Female,43107,0,0
01/07/2021,0-9,Male,47699,3392846,1.40586988
01/07/2021,Oct-19,Male,97605,3552543,2.747468504
