GP_CODE,ParentName,BowelUptake,Deprivation,M1,M2,M3,M4,M5,M6,F1,F2,F3,F4,F5,F6
A81001,NHS Tees Valley CCG,66.2251655629139,32.3609392614188,10,11,12,13,14,12,13,14,15,16,17,18
A81002,NHS Tees Valley CCG,65.8690176322418,31.9219576370791,10,11,12,13,14,12,13,14,15,16,17,18
A81004,NHS Tees Valley CCG,62.9388816644993,28.0240260610573,10,11,12,13,14,12,13,14,15,16,17,18
A81005,NHS Tees Valley CCG,77.1580345285525,15.398206930816,10,11,12,13,14,12,13,14,15,16,17,18
A81006,NHS Tees Valley CCG,64.0035118525022,35.6123870901918,10,11,12,13,14,12,13,14,15,16,17,18
A81007,NHS Tees Valley CCG,63.7954239569314,34.4445323985979,10,11,12,13,14,12,13,14,15,16,17,18
A81009,NHS Tees Valley CCG,63.3986928104575,35.8658491784038,10,11,12,13,14,12,13,14,15,16,17,18
A81011,NHS Tees Valley CCG,62.0360551431601,36.3089020068855,10,11,12,13,14,12,13,14,15,16,17,18
A81012,NHS Tees Valley CCG,55.2287581699346,52.6470209196763,10,11,12,13,14,12,13,14,15,16,17,18
A81013,NHS Tees Valley CCG,68.0851063829787,29.722752783285,10,11,12,13,14,12,13,14,15,16,17,18
A81014,NHS Tees Valley CCG,64.7208121827411,23.2413015956055,10,11,12,13,14,12,13,14,15,16,17,18
A81016,NHS Tees Valley CCG,58.7301587301587,44.489167042668,10,11,12,13,14,12,13,14,15,16,17,18
A81017,NHS Tees Valley CCG,65.8015267175573,18.9506285295963,10,11,12,13,14,12,13,14,15,16,17,18
A81018,NHS Tees Valley CCG,57.9973992197659,31.6521769322472,10,11,12,13,14,12,13,14,15,16,17,18
A81019,NHS Tees Valley CCG,58.5735963581184,51.0359636499307,10,11,12,13,14,12,13,14,15,16,17,18
A81020,NHS Tees Valley CCG,67.005076142132,32.590788101771,10,11,12,13,14,12,13,14,15,16,17,18
A81021,NHS Tees Valley CCG,69.6517412935323,36.747031515241,10,11,12,13,14,12,13,14,15,16,17,18
A81022,NHS Tees Valley CCG,66.8973471741638,28.1046550919171,10,11,12,13,14,12,13,14,15,16,17,18
A81023,NHS Tees Valley CCG,59.9078341013825,46.7262571575961,10,11,12,13,14,12,13,14,15,16,17,18
A81025,NHS Tees Valley CCG,61.0778443113772,34.5468043424624,10,11,12,13,14,12,13,14,15,16,17,18
A81026,NHS Tees Valley CCG,60.1275917065391,43.0419056167061,10,11,12,13,14,12,13,14,15,16,17,18
A81027,NHS Tees Valley CCG,71.4069591527988,8.49827651464491,10,11,12,13,14,12,13,14,15,16,17,18
A81029,NHS Tees Valley CCG,52.1367521367521,48.7180673703819,10,11,12,13,14,12,13,14,15,16,17,18
A81030,NHS Tees Valley CCG,69.4128787878788,29.2136742505545,10,11,12,13,14,12,13,14,15,16,17,18
A81031,NHS Tees Valley CCG,61.9411123227917,37.3702897101336,10,11,12,13,14,12,13,14,15,16,17,18
A81032,NHS Tees Valley CCG,70.3187250996016,18.8740962404633,10,11,12,13,14,12,13,14,15,16,17,18
A81034,NHS Tees Valley CCG,63.0188679245283,21.2040133726201,10,11,12,13,14,12,13,14,15,16,17,18
A81035,NHS Tees Valley CCG,60.5797101449275,45.5057360544218,10,11,12,13,14,12,13,14,15,16,17,18
A81036,NHS Tees Valley CCG,67.2741078208049,28.1489688280718,10,11,12,13,14,12,13,14,15,16,17,18
A81037,NHS Tees Valley CCG,52.6027397260274,47.2018875419892,10,11,12,13,14,12,13,14,15,16,17,18
A81038,NHS Tees Valley CCG,42.9864253393665,48.8496833423472,10,11,12,13,14,12,13,14,15,16,17,18
A81039,NHS Tees Valley CCG,72.0551378446115,9.81094919912804,10,11,12,13,14,12,13,14,15,16,17,18
A81040,NHS Tees Valley CCG,69.5014662756598,24.157726247798,10,11,12,13,14,12,13,14,15,16,17,18
A81041,NHS Tees Valley CCG,66.507747318236,35.67246825054,10,11,12,13,14,12,13,14,15,16,17,18
A81042,NHS Tees Valley CCG,55.885078776645,44.4887079025634,10,11,12,13,14,12,13,14,15,16,17,18
A81043,NHS Tees Valley CCG,69.4610778443114,34.8856724319271,10,11,12,13,14,12,13,14,15,16,17,18
A81044,NHS Tees Valley CCG,61.0847457627119,34.8838701367822,10,11,12,13,14,12,13,14,15,16,17,18
A81045,NHS Tees Valley CCG,64.6408839779006,30.3384961979815,10,11,12,13,14,12,13,14,15,16,17,18
A81046,NHS Tees Valley CCG,64.2636457260556,31.4698749498355,10,11,12,13,14,12,13,14,15,16,17,18
A81048,NHS Tees Valley CCG,72.7272727272727,17.1087073204043,10,11,12,13,14,12,13,14,15,16,17,18
A81049,NHS Tees Valley CCG,54.4392523364486,51.9002698838248,10,11,12,13,14,12,13,14,15,16,17,18
A81051,NHS Tees Valley CCG,63.2270168855535,28.418910001495,10,11,12,13,14,12,13,14,15,16,17,18
A81052,NHS Tees Valley CCG,64.5207439198855,29.4223941880342,10,11,12,13,14,12,13,14,15,16,17,18
A81053,NHS Tees Valley CCG,65.4676258992806,36.8823205941513,10,11,12,13,14,12,13,14,15,16,17,18
A81054,NHS Tees Valley CCG,66.9796557120501,30.2660548616214,10,11,12,13,14,12,13,14,15,16,17,18
A81056,NHS Tees Valley CCG,64.6511627906977,24.1716920991479,10,11,12,13,14,12,13,14,15,16,17,18
A81057,NHS Tees Valley CCG,62.4048706240487,26.1980391246684,10,11,12,13,14,12,13,14,15,16,17,18
A81058,NHS Tees Valley CCG,70.1780415430267,29.3066843760923,10,11,12,13,14,12,13,14,15,16,17,18
A81060,NHS Tees Valley CCG,72.258064516129,33.1285446180556,10,11,12,13,14,12,13,14,15,16,17,18
A81063,NHS Tees Valley CCG,59.4771241830065,37.62924613144,10,11,12,13,14,12,13,14,15,16,17,18
A81064,NHS Tees Valley CCG,65.4605263157895,46.1153732037194,10,11,12,13,14,12,13,14,15,16,17,18
A81065,NHS Tees Valley CCG,60.573476702509,49.1623432645786,10,11,12,13,14,12,13,14,15,16,17,18
A81066,NHS Tees Valley CCG,69.3627450980392,16.0813719670711,10,11,12,13,14,12,13,14,15,16,17,18
A81067,NHS Tees Valley CCG,56.628242074928,40.5102659619811,10,11,12,13,14,12,13,14,15,16,17,18
A81070,NHS Tees Valley CCG,66.6666666666667,31.3171107635433,10,11,12,13,14,12,13,14,15,16,17,18
A81602,NHS Tees Valley CCG,72.1153846153846,21.7278763265306,10,11,12,13,14,12,13,14,15,16,17,18
A81608,NHS Tees Valley CCG,64.9122807017544,38.9923193048576,10,11,12,13,14,12,13,14,15,16,17,18
A81610,NHS Tees Valley CCG,68.1318681318681,23.3312709188912,10,11,12,13,14,12,13,14,15,16,17,18
A81611,NHS Tees Valley CCG,68.1260945709282,28.8155197020989,10,11,12,13,14,12,13,14,15,16,17,18
A81612,NHS Tees Valley CCG,67.8456591639871,23.4124490521327,10,11,12,13,14,12,13,14,15,16,17,18
A81618,NHS Tees Valley CCG,70.2031602708804,20.8952369499002,10,11,12,13,14,12,13,14,15,16,17,18
A81621,NHS Tees Valley CCG,40.1869158878505,67.4074078834619,10,11,12,13,14,12,13,14,15,16,17,18
A81622,NHS Tees Valley CCG,60.6508875739645,40.3952235633219,10,11,12,13,14,12,13,14,15,16,17,18
A81629,NHS Tees Valley CCG,57.7259475218659,38.5198491307947,10,11,12,13,14,12,13,14,15,16,17,18
A81631,NHS Tees Valley CCG,69.6078431372549,35.4825945626478,10,11,12,13,14,12,13,14,15,16,17,18
A81633,NHS Tees Valley CCG,83.3333333333333,62.9895157894737,10,11,12,13,14,12,13,14,15,16,17,18
A81634,NHS Tees Valley CCG,60,59.1517907361456,10,11,12,13,14,12,13,14,15,16,17,18
A82003,NHS Morecambe Bay CCG,70.0552486187845,14.5789282592862,10,11,12,13,14,12,13,14,15,16,17,18
A82004,NHS North Cumbria CCG,68.6991869918699,20.101738722644,10,11,12,13,14,12,13,14,15,16,17,18
A82005,NHS Morecambe Bay CCG,70.7070707070707,12.5832611798287,10,11,12,13,14,12,13,14,15,16,17,18
A82006,NHS North Cumbria CCG,72.621359223301,15.8849782873377,10,11,12,13,14,12,13,14,15,16,17,18
A82007,NHS Morecambe Bay CCG,71.583850931677,35.3418782536555,10,11,12,13,14,12,13,14,15,16,17,18
A82008,NHS Morecambe Bay CCG,62.8915662650602,32.3190805721528,10,11,12,13,14,12,13,14,15,16,17,18
A82009,NHS Morecambe Bay CCG,65.8499234303216,33.3358101706331,10,11,12,13,14,12,13,14,15,16,17,18
A82010,NHS Morecambe Bay CCG,74.3137254901961,26.7395717054264,10,11,12,13,14,12,13,14,15,16,17,18
A82012,NHS North Cumbria CCG,72.382118799755,14.1883125860989,10,11,12,13,14,12,13,14,15,16,17,18
A82013,NHS North Cumbria CCG,70.9844559585492,20.568628147482,10,11,12,13,14,12,13,14,15,16,17,18
A82014,NHS North Cumbria CCG,75.3424657534247,17.6314096385542,10,11,12,13,14,12,13,14,15,16,17,18
A82015,NHS North Cumbria CCG,61.58357771261,27.8074726618705,10,11,12,13,14,12,13,14,15,16,17,18
A82016,NHS North Cumbria CCG,69.3536121673004,22.7083933960201,10,11,12,13,14,12,13,14,15,16,17,18
A82018,NHS North Cumbria CCG,70.5494505494506,23.5269205640985,10,11,12,13,14,12,13,14,15,16,17,18
A82019,NHS North Cumbria CCG,66.7269439421338,24.4890791528632,10,11,12,13,14,12,13,14,15,16,17,18
A82020,NHS North Cumbria CCG,67.208904109589,24.6237100662252,10,11,12,13,14,12,13,14,15,16,17,18
A82021,NHS North Cumbria CCG,74.8582230623819,13.4107260768335,10,11,12,13,14,12,13,14,15,16,17,18
A82022,NHS North Cumbria CCG,73.943661971831,14.9383263943441,10,11,12,13,14,12,13,14,15,16,17,18
A82023,NHS North Cumbria CCG,72.0264317180617,23.8847589338598,10,11,12,13,14,12,13,14,15,16,17,18
A82024,NHS North Cumbria CCG,70.2749140893471,14.4670163588391,10,11,12,13,14,12,13,14,15,16,17,18
